source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds006131	ASLPrep-0.7.5	sub-24053	ses-1	201	224489192	46	206445456	2
ds006131	ASLPrep-0.7.5	sub-24630	ses-1	201	212511080	46	195960127	2
ds006131	ASLPrep-0.7.5	sub-24663	ses-1	201	210921747	46	195517691	2
ds006131	ASLPrep-0.7.5	sub-24683	ses-1	199	176219872	45	159336255	2
ds006131	ASLPrep-0.7.5	sub-24684	ses-1	201	228150553	46	209328950	2
ds006131	ASLPrep-0.7.5	sub-24696	ses-1	201	213843544	46	197622582	2
ds006131	ASLPrep-0.7.5	sub-24697	ses-1	199	179417502	45	162406381	2
ds006131	ASLPrep-0.7.5	sub-24699	ses-1	201	225968684	46	207103629	2
ds006131	ASLPrep-0.7.5	sub-24702	ses-1	201	214474044	46	198138188	2
ds006131	ASLPrep-0.7.5	sub-60295	ses-1	199	174662618	45	158116274	2
ds006131	ASLPrep-0.7.5	sub-PILOT02	ses-1	199	181965137	45	164497766	2
ds006131	MRIQC-25.0.0rc0	sub-24053	ses-1	34	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-24630	ses-1	34	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-24663	ses-1	34	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-24683	ses-1	33	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-24684	ses-1	34	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-24696	ses-1	34	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-24697	ses-1	33	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-24699	ses-1	34	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-24702	ses-1	34	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-60295	ses-1	33	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-PILOT01	ses-1	31	0	0	0	0
ds006131	MRIQC-25.0.0rc0	sub-PILOT02	ses-1	33	0	0	0	0
ds006131	fMRIPrep-24.1.1	sub-24053	ses-1	239	26676794984	96	26265082595	0
ds006131	fMRIPrep-24.1.1	sub-24630	ses-1	239	26239813797	96	25839677789	0
ds006131	fMRIPrep-24.1.1	sub-24663	ses-1	239	26290198201	96	25895349502	0
ds006131	fMRIPrep-24.1.1	sub-24683	ses-1	237	26533973853	95	26129923575	0
ds006131	fMRIPrep-24.1.1	sub-24684	ses-1	239	26635385236	96	26219770537	0
ds006131	fMRIPrep-24.1.1	sub-24696	ses-1	239	26405728452	96	26005066145	0
ds006131	fMRIPrep-24.1.1	sub-24697	ses-1	237	26605264277	95	26199561321	0
ds006131	fMRIPrep-24.1.1	sub-24699	ses-1	239	26783793923	96	26365607120	0
ds006131	fMRIPrep-24.1.1	sub-24702	ses-1	239	26506165345	96	26105513880	0
ds006131	fMRIPrep-24.1.1	sub-60295	ses-1	237	26341749225	95	25939525427	0
ds006131	fMRIPrep-24.1.1	sub-PILOT01	ses-1	237	24516607435	95	24115496468	0
ds006131	fMRIPrep-24.1.1	sub-PILOT02	ses-1	237	26683383689	95	26277151597	0
ds006131	fMRIPrep-24.1.1	sub-24053	ses-1	239	26676794984	96	26265082595	0
ds006131	fMRIPrep-24.1.1	sub-24630	ses-1	239	26239813797	96	25839677789	0
ds006131	fMRIPrep-24.1.1	sub-24663	ses-1	239	26290198201	96	25895349502	0
ds006131	fMRIPrep-24.1.1	sub-24683	ses-1	237	26533973853	95	26129923575	0
ds006131	fMRIPrep-24.1.1	sub-24684	ses-1	239	26635385236	96	26219770537	0
ds006131	fMRIPrep-24.1.1	sub-24696	ses-1	239	26405728452	96	26005066145	0
ds006131	fMRIPrep-24.1.1	sub-24697	ses-1	237	26605264277	95	26199561321	0
ds006131	fMRIPrep-24.1.1	sub-24699	ses-1	239	26783793923	96	26365607120	0
ds006131	fMRIPrep-24.1.1	sub-24702	ses-1	239	26506165345	96	26105513880	0
ds006131	fMRIPrep-24.1.1	sub-60295	ses-1	237	26341749225	95	25939525427	0
ds006131	fMRIPrep-24.1.1	sub-PILOT01	ses-1	237	24516607435	95	24115496468	0
ds006131	fMRIPrep-24.1.1	sub-PILOT02	ses-1	237	26683383689	95	26277151597	0
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24053	ses-1	41	665658622	8	413997038	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24630	ses-1	41	655830335	8	407830589	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24663	ses-1	41	654536631	8	410183558	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24683	ses-1	41	652602383	8	411845274	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24684	ses-1	40	669713874	8	415862973	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24696	ses-1	40	668397224	8	417249026	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24697	ses-1	40	655128277	8	414071156	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24699	ses-1	40	661586070	8	406466264	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-24702	ses-1	40	664634587	8	414807321	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-60295	ses-1	40	646159328	8	407190800	5
ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	sub-PILOT02	ses-1	40	643134104	8	402710842	5
